Squad,Year,Rank,# Pl.x,MP,Starts,Min,90s.x,GA.x,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA.x,PKsv,PKm,# Pl.y,90s.y,GA.y,PKA.y,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att.x,Cmp%,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att.y,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,opp_90,tkl_90,int_90,tkl_int_90,def_3rd_90,att_3rd_90,save_performance,prop_tkl_w
Manchester City,22/23,W,2,13,13,1170,13,5,0.38,37,32,89.2,8,5,0,8,61.5,1,1,0,0,2,13,5,1,0,3,0,7.6,0.19,2.6,0.2,48,101,47.5,340,51,22.6,29.6,93,5,5.4,14,1.08,16.2,23,13,185,112,68,80,37,177,49.7,89,104,24,80,84,269,126,3,7.153846153846154,14.23076923076923,6.461538461538462,20.692307692307693,5.230769230769231,2.8461538461538463,Overperformed,0.6054054054054054
Inter,22/23,F,1,13,13,1170,13,11,0.8500000000000001,57,47,80.7,7,3,3,8,61.5,0,0,0,0,1,13,11,0,0,2,1,17.6,0.31,7.6,0.58,84,191,44,419,63,35.8,34,196,14,7.1,3,0.23,10.1,22,13,230,138,130,73,27,227,45.4,124,149,46,103,123,353,276,1,15.076923076923077,17.692307692307693,9.461538461538462,27.153846153846153,10,2.076923076923077,Overperformed,0.6
Real Madrid,22/23,SF,2,12,12,1080,12,13,1.08,58,44,77.6,8,2,2,5,41.7,1,0,1,0,2,12,13,0,1,2,0,18.6,0.31,5.6,0.47000000000000003,26,95,27.4,322,80,22,30,147,10,6.8,8,0.6699999999999999,11.5,22,12,173,98,85,68,20,178,47.8,93,133,34,99,111,284,179,1,12.25,14.416666666666666,9.25,23.666666666666668,7.083333333333333,1.6666666666666667,Overperformed,0.5664739884393064
Milan,22/23,SF,2,12,12,1080,12,11,0.92,52,40,80.8,5,3,4,5,41.7,2,1,1,0,2,12,11,1,0,3,0,14.4,0.24000000000000002,3.4,0.28,75,144,52.1,338,48,30.8,32.7,163,11,6.7,21,1.75,21.3,23,12,214,123,111,80,23,183,48.6,94,129,46,83,103,317,187,4,13.583333333333334,17.833333333333332,8.583333333333334,26.416666666666668,9.25,1.9166666666666667,Overperformed,0.5747663551401869
Bayern Munich,22/23,QF,3,10,10,900,10,6,0.6,36,30,83.3,8,1,1,7,70,1,0,0,1,3,10,6,0,0,1,0,10.6,0.3,4.6,0.46,24,62,38.7,326,45,16.6,33.2,113,2,1.8,7,0.7,NA,24,10,189,118,94,69,26,175,45.7,95,146,34,112,120,309,131,5,11.3,18.9,12,30.9,9.4,2.6,Overperformed,0.6243386243386243
Napoli,22/23,QF,1,10,10,900,10,8,0.8,30,21,76.7,7,1,2,4,40,2,1,1,0,1,10,8,1,0,2,0,11.4,0.32999999999999996,3.4,0.33999999999999997,21,47,44.7,245,48,15.5,24.8,129,7,5.4,11,1.1,13.6,22,10,173,104,79,64,30,141,55.3,63,95,29,66,88,261,160,4,12.9,17.3,8.8,26.1,7.9,3,Overperformed,0.6011560693641619
Benfica,22/23,QF,1,10,10,900,10,13,1.3,31,18,67.7,6,3,1,2,20,3,3,0,0,1,10,13,3,0,1,0,12.1,0.32,-0.9,-0.09,28,93,30.1,199,42,33.7,33.5,140,6,4.3,11,1.1,14.8,24,10,189,105,80,78,31,189,43.4,107,126,33,93,123,312,160,1,14,18.9,12.3,31.2,8,3.1,Underperformed,0.5555555555555556
Chelsea,22/23,QF,2,10,10,900,10,9,0.9,37,28,75.7,5,1,4,3,30,0,0,0,0,2,10,9,0,0,1,0,10.4,0.31,1.4,0.14,27,87,31,248,53,24.6,27.5,95,7,7.4,12,1.2,22.7,26,10,175,104,81,68,26,174,50,87,136,30,106,93,268,141,1,9.5,17.5,9.3,26.8,8.1,2.6,Overperformed,0.5942857142857143
Liverpool,22/23,R16,1,8,8,720,8,12,1.5,28,15,60.7,5,0,3,3,37.5,2,1,1,0,1,8,12,1,0,0,0,12.6,0.4,0.6,0.08,28,51,54.9,235,36,17.9,26.5,56,7,12.5,10,1.25,17.4,25,8,141,81,58,64,19,125,53.6,58,83,20,63,60,201,76,3,7,17.625,7.5,25.125,7.25,2.375,Overperformed,0.574468085106383
Paris S-G,22/23,R16,1,8,8,720,8,10,1.25,35,26,74.3,4,2,2,0,0,1,1,0,0,1,8,10,1,0,2,1,10.1,0.26,1.1,0.13,13,42,31,174,41,19,25.1,99,2,2,8,1,13.3,21,8,117,77,58,45,14,139,42.4,80,77,23,54,62,179,97,3,12.375,14.625,7.75,22.375,7.25,1.75,Overperformed,0.6581196581196581
Porto,22/23,R16,1,8,8,720,8,8,1,38,28,81.6,4,1,3,4,50,4,1,3,0,1,8,8,1,0,1,1,10.7,0.18,3.7,0.46,56,147,38.1,320,44,37.2,36.1,117,9,7.7,8,1,13.6,24,8,136,88,76,45,15,127,44.9,70,85,23,62,77,213,152,1,14.625,17,9.625,26.625,9.5,1.875,Overperformed,0.6470588235294118
