Squad,Year,Rank,# Pl.x,90s.x,SCA,SCA90,PassLive,PassDead,TO,Sh.x,Fld,Def,GCA,GCA90,# Pl.y,90s.y,Gls,Sh.y,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,prop_SCA_dead,performance
Manchester City,22/23,1,23,13,365,28.08,278,29,20,21,13,4,52,4,23,13,31,196,85,43.4,15.08,6.54,0.15000000000000002,0.33999999999999997,17.2,4,2,5,26.5,22.6,0.12000000000000001,4.5,6.4,0.07945205479452055,Overperformed
Inter,22/23,2,22,13,281,21.62,203,32,10,24,9,3,35,2.69,22,13,19,166,62,37.3,12.77,4.7700000000000005,0.11,0.29000000000000004,16.6,2,1,1,17.9,17.5,0.11,1.1,0.5,0.11387900355871886,Overperformed
Real Madrid,22/23,SF,22,12,335,27.919999999999998,257,22,24,15,13,4,45,3.75,22,12,26,184,74,40.2,15.33,6.17,0.13,0.31,17.6,5,3,3,22.3,20.5,0.12000000000000001,3.7,2.5,0.06567164179104477,Overperformed
Milan,22/23,SF,23,12,242,20.17,177,17,13,20,11,4,25,2.08,23,12,14,135,42,31.1,11.25,3.5,0.09,0.29000000000000004,17.5,3,2,3,16.5,14.1,0.11,-2.5,-2.1,0.07024793388429752,Underperformed
Bayern Munich,22/23,QF,24,10,302,30.2,238,12,24,15,9,4,39,3.9,24,10,21,167,72,43.1,16.7,7.2,0.12000000000000001,0.28,18.2,8,1,1,19.4,18.6,0.11,1.6,1.4,0.039735099337748346,Overperformed
Napoli,22/23,QF,22,10,315,31.5,221,27,22,21,12,12,47,4.7,22,10,26,167,63,37.7,16.7,6.3,0.13,0.35,16.7,2,4,8,25.2,19.1,0.12000000000000001,0.8,2.9,0.08571428571428572,Overperformed
Benfica,22/23,QF,24,10,254,25.4,195,12,18,10,16,3,47,4.7,24,10,25,133,48,36.1,13.3,4.8,0.15000000000000002,0.42000000000000004,17.3,6,5,5,19,15.1,0.12000000000000001,6,4.9,0.047244094488188976,Overperformed
Chelsea,22/23,QF,26,10,283,28.3,211,26,11,20,13,2,20,2,26,10,12,152,51,33.6,15.2,5.1,0.07,0.2,16.5,6,2,2,16.2,14.6,0.1,-4.2,-4.6,0.09187279151943463,Underperformed
Liverpool,22/23,R16,25,8,222,27.75,165,24,10,15,6,2,31,3.8699999999999997,25,8,19,126,55,43.7,15.75,6.87,0.14,0.32999999999999996,16,4,1,1,14.7,13.9,0.11,4.3,4.1,0.10810810810810811,Overperformed
Paris S-G,22/23,R16,21,8,179,22.37,138,11,9,7,13,1,28,3.5,21,8,15,99,41,41.4,12.38,5.119999999999999,0.14,0.33999999999999997,17.6,8,1,1,10.8,10,0.1,4.2,4,0.061452513966480445,Overperformed
