Squad,Year,Rank,# Pl.x,Poss,90s.x,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att.x,Succ,Succ%,Tkld,Tkld%,Carries,TotDist.x,PrgDist.x,PrgC,1/3.x,CPA,Mis,Dis,Rec,PrgR,# Pl.y,90s.y,Cmp,Att.y,Cmp%,TotDist.y,PrgDist.y,Ast,xAG,xA,A-xAG,KP,1/3.y,PPA,CrsPA,PrgP,takeons_per_match,prop_def_third,prop_mid_third,prop_att_third,kp_90,crosses_90,PrgP_90,PrgC_90,takeons_attempted_90,def_third_touches_90,mid_third_touches_90,att_third_touches_90
Manchester City,22/23,W,23,59.8,13,9902,650,2217,4861,2903,371,9897,256,151,59,68,26.6,6338,33355,18299,332,263,95,135,98,7628,634,23,13,7695,8736,88.1,133458,36726,23,17.8,17,5.2,164,648,128,30,644,19.692307692307693,0.22389416279539487,0.49091092708543727,0.2931730963441729,12.615384615384615,2.3076923076923075,49.53846153846154,25.53846153846154,19.692307692307693,170.53846153846155,373.9230769230769,223.30769230769232
Inter,22/23,F,22,45.6,13,7429,1028,2866,2971,1661,270,7428,163,78,47.9,62,38,4207,20379,10227,204,163,39,163,106,4747,436,22,13,4784,6011,79.6,91946,34311,17,14.3,13.4,2.7,123,336,93,32,440,12.538461538461538,0.3857854354556468,0.39991923542872526,0.22358325481222238,9.461538461538462,2.4615384615384617,33.84615384615385,15.692307692307692,12.538461538461538,220.46153846153845,228.53846153846155,127.76923076923077
Real Madrid,22/23,SF,22,53.7,12,8840,845,2587,3955,2376,309,8837,270,120,44.4,113,41.9,5616,29146,14677,284,207,94,140,86,6617,492,22,12,6655,7601,87.6,103798,32798,21,17.2,19.1,3.8,147,496,104,22,494,22.5,0.2926470588235294,0.4473981900452489,0.2687782805429864,12.25,1.8333333333333333,41.166666666666664,23.666666666666668,22.5,215.58333333333334,329.5833333333333,198
Milan,22/23,SF,23,48,12,6736,739,2282,3104,1426,231,6733,266,115,43.2,112,42.1,3683,21372,11242,217,145,57,183,121,4253,366,23,12,4306,5392,79.9,80341,29115,9,11.3,11,-2.3,99,311,77,26,378,22.166666666666668,0.3387767220902613,0.46080760095011875,0.21169833729216153,8.25,2.1666666666666665,31.5,18.083333333333332,22.166666666666668,190.16666666666666,258.6666666666667,118.83333333333333
Bayern Munich,22/23,QF,24,56.1,10,7288,705,2305,3211,1838,294,7287,232,121,52.2,88,37.9,4893,25909,13199,249,162,64,155,114,5241,538,24,10,5277,6096,86.6,92687,30813,19,15.5,13.5,3.5,129,464,106,11,541,23.2,0.31627332601536773,0.44058726673984633,0.2521953896816685,12.9,1.1,54.1,24.9,23.2,230.5,321.1,183.8
Napoli,22/23,QF,22,56.4,10,6947,633,2106,3408,1519,298,6939,248,114,46,95,38.3,4691,23225,12389,260,166,80,138,82,4908,415,22,10,4938,5849,84.4,79554,26691,20,15.7,15.1,4.3,136,326,89,20,419,24.8,0.30315243990211604,0.4905714696991507,0.21865553476320715,13.6,2,41.9,26,24.8,210.6,340.8,151.9
Benfica,22/23,QF,24,52.9,10,6876,588,1981,3199,1777,254,6871,201,99,49.3,85,42.3,4463,22971,11004,187,182,43,155,83,4804,449,24,10,4832,5740,84.2,82686,26948,16,12,12.5,4,103,373,99,18,455,20.1,0.2881035485747528,0.4652414194299011,0.258435136707388,10.3,1.8,45.5,18.7,20.1,198.1,319.9,177.7
Chelsea,22/23,QF,26,57.3,10,7105,539,1883,3368,1928,272,7103,208,89,42.8,90,43.3,5033,23433,11627,211,220,47,153,91,4985,510,26,10,5015,5977,83.9,83375,27690,7,11.8,13.4,-4.8,115,418,105,16,512,20.8,0.2650246305418719,0.4740323715693174,0.2713581984517945,11.5,1.6,51.2,21.1,20.8,188.3,336.8,192.8
Liverpool,22/23,R16,25,54.9,8,5473,397,1444,2578,1500,257,5472,148,62,41.9,68,45.9,3020,15605,7685,150,132,48,133,85,3756,399,25,8,3786,4628,81.8,64379,23190,15,10.8,11.7,4.2,103,305,101,16,407,18.5,0.26384067239174125,0.4710396491869176,0.2740727206285401,12.875,2,50.875,18.75,18.5,180.5,322.25,187.5
Paris S-G,22/23,R16,21,56.8,8,5947,558,1832,2760,1411,210,5946,202,99,49,74,36.6,4836,26522,12412,184,197,55,102,91,4543,351,21,8,4570,5187,88.1,68541,22084,12,7.1,8.6,4.9,70,311,89,8,352,25.25,0.30805448125105095,0.4640995459895746,0.2372624852866992,8.75,1,44,23,25.25,229,345,176.375
